Age,Gender,Education Level,Job Title,Years of Experience,Monthly Salary
32,Male,Bachelor's,Software Engineer,5,9000000
28,Female,Master's,Data Analyst,3,6500000
45,Male,PhD,Senior Manager,15,15000000
36,Female,Bachelor's,Sales Associate,7,6000000
52,Male,Master's,Director,20,20000000
29,Male,Bachelor's,Marketing Analyst,2,5500000
42,Female,Master's,Product Manager,12,12000000
31,Male,Bachelor's,Sales Manager,4,8000000
26,Female,Bachelor's,Marketing Coordinator,1,4500000
38,Male,PhD,Senior Scientist,10,11000000
29,Male,Master's,Software Developer,3,7500000
48,Female,Bachelor's,HR Manager,18,14000000
35,Male,Bachelor's,Financial Analyst,6,6500000
40,Female,Master's,Project Manager,14,13000000
27,Male,Bachelor's,Customer Service Rep,2,4000000
44,Male,Bachelor's,Operations Manager,16,12500000
33,Female,Master's,Marketing Manager,7,9000000
39,Male,PhD,Senior Engineer,12,11500000
25,Female,Bachelor's,Data Entry Clerk,0,3500000
51,Male,Bachelor's,Sales Director,22,18000000
34,Female,Master's,Business Analyst,5,8000000
47,Male,Master's,VP of Operations,19,19000000
30,Male,Bachelor's,IT Support,2,5000000
36,Female,Bachelor's,Recruiter,9,6000000
41,Male,Master's,Financial Manager,13,14000000
28,Female,Bachelor's,Social Media Specialist,3,4500000
37,Female,Master's,Software Manager,11,11000000
24,Male,Bachelor's,Junior Developer,1,4000000
43,Female,PhD,Senior Consultant,15,14000000
33,Male,Master's,Product Designer,6,9000000
50,Male,Bachelor's,CEO,25,25000000
31,Female,Bachelor's,Accountant,4,5500000
29,Male,Master's,Data Scientist,3,7500000
39,Female,Bachelor's,Marketing Specialist,10,6500000
46,Male,PhD,Senior Manager,20,17000000
27,Male,Bachelor's,Technical Writer,2,4500000
35,Female,Bachelor's,HR Generalist,7,6000000
42,Male,Master's,Project Engineer,14,11500000
26,Female,Bachelor's,Customer Success Rep,1,4000000
49,Male,Bachelor's,Sales Executive,21,16000000
34,Female,Master's,UX Designer,5,8000000
48,Male,Master's,Operations Director,18,19000000
30,Male,Bachelor's,Network Engineer,3,6000000
36,Female,Bachelor's,Administrative Assistant,8,4500000
41,Male,Master's,Strategy Consultant,13,13000000
28,Female,Bachelor's,Copywriter,2,4000000
32,Male,Bachelor's,Account Manager,5,7500000
45,Female,Master's,Director of Marketing,16,18000000
38,Male,PhD,Senior Scientist,11,12000000
25,Male,Bachelor's,Help Desk Analyst,0,3500000
51,Female,Bachelor's,Customer Service Manager,22,13000000
33,Male,Master's,Business Intelligence Analyst,7,8500000
40,Female,Bachelor's,Event Coordinator,12,6000000
47,Male,Master's,VP of Finance,19,20000000
